עֵבֶרן,4
פֶּלֶג,5
צעטײלט,27
יָקטָן,4
אַלמודָדן,1
שֶלֶפֿן,2
חַצַרמָוֶתן,1
יֶרַחן,2
הַדורָמען,1
אוזָלן,2
דִקלָהן,2
עובָלן,1
אבֿימָאֵלן,1
שבאָן,2
אופֿירן,1
חַוִילָהן,1
יוֹבָבן,1
יָקטָנס,2
װױנאָרט,3
מֵשאָ,1
קומסט,26
ספֿר,1
באַרג,303
"מבול.

",1
שפּראַך,12
װערטער,404
געצױגן,92
פּלױן,34
אַנדערן,103
קומט,322
ציגל,12
אױסברענען,1
ברענערײַ,1
שטײן,150
לײם,30
װאַפּנע,3
בױען,120
טורעם,34
שפּיץ,62
אַראָפּגענידערט,109
מענטשנקינדער,44
פֿאָלק,1625
אַלעמען,36
פֿאַרמיטן,33
טראַכטן,30
אַראָפּנידערן,50
צעמישן,3
פֿאַרשטײן,57
אַנדערנס,11
אױפֿגעהערט,27
צעמישט,9
אַרפַּכשַדן,2
פינף,7
"טעכטער.
",10
פֶּלֶגן,2
רְעון,2
רְעו,3
שׂרוגן,2
שׂרוג,3
נָחורן,8
נָחור,5
תֶּרַחן,5
נײַנצן,3
תֶּרַח,7
אבֿרמען,22
"הָרָנען.
",1
הָרָנען,2
הָרָן,4
לוטן,11
געבורט,13
אור-כַּשׂדים,4
אבֿרם,30
אבֿרמס,6
שָׂרַי,10
נָחורס,1
מִלכָּה,9
טאָכטער,267
מִלכָּהן,2
יִסכָּהן,1
עקרה,11
"קינדער.
",4
אײניקל,3
לוט,20
שנור,32
חָרָן,7
"באַזעצט.
",3
"חָרָן.
לֶך-לְךֳ
",1
אַװעק,222
אָפּשטאַם,20
פֿאָטערס,119
הױז,1595
װײַזן,41
בענטשן,95
גרײסן,23
בענטשונג,4
פֿלוכט,2
מיטגעגאַנגען,3
אַרױסגײן,177
שָׂרַין,6
פֿאַרמעג,67
אָנגעקליבן,13
אָנגעשאַפֿט,5
דורכגעגאַנגען,26
דורכן,87
שכֶם,43
אײכנבױם,10
מורֶה,1
"לאַנד.
",39
איבערגעטראָגן,3
בית-אֵל,36
מערב,5
עַי,39
"יהוה.
",37
ציענדיק,1
װײַטער,44
"דרום.
",1
הונגער,97
גענידערט,37
אױפֿצוהאַלטן,4
שװער,82
נאָנט,49
בעט,310
שײנעם,12
אױסזען,73
מִצרים,42
הרגען,48
לאָזן,149
זאָג,154
צוליב,11
האַרן,219
פַּרעהן,101
פֿאַרלױבט,1
צוגענומען,74
פַּרעהס,34
באַגיטיקט,3
אירעטװעגן,1
רינדער,142
אײזלען,42
דינסטן,28
אײזעלינס,16
"קעמלען.
",3
געפּלאָגט,19
פּלאָגן,23
פַּרעה,71
מיר?,36
װײַב?,4
אַלמאַי,6
«זי,1
שװעסטער»,1
"גײ.
",1
אַרױסבאַלײט,6
"געהאַט.

",2
אַרױפֿגעגאַנגען,179
רײַך,27
זילבער,204
ציונגען,1
צוערשט,26
געקענט,98
װױנען,64
באַנאַנד,12
קריגערײַ,1
פּאַסטוכער,44
לוטס,1
פּרִזי,22
געזעסן,203
קריג,73
אײגענע,18
ליגט,33
דאָך,104
שײד,6
אפּ,1
ענטװעדער,5
לינקס,23
רעכטס,32
אָדער,560
"לינקס.
",3
געגנט,28
יַרדן,125
באַװעסערט,2
אײדער,115
צעשטערט,37
צועַר,7
אױסגעקליבן,10
אַװעקגעצױגן,23
אָפּגעשײדט,32
שטעט,374
"סדום.
",1
זינדיק,15
"גאָט.
",198
הײב,37
אַקאָרשט,109
צפֿון,111
זעסט,11
עמיצער,29
קענען,124
צײלן,25
געצײלט,35
שטײ,90
"געבן.
",8
אײכנבײמער,5
מַמרֵא,9
חֶברון,3
אַמרָפֿל,2
מלך,2281
אַריאָך,2
אֶלָסָר,2
כּדָרלעומֶר,3
תִּדעָל,2
גױִם,2
מלחמה,402
ברַע,1
ברשַע,1
שִנאָב,1
שֶמאבֿר,1
בלַע,5
צונױפֿגעחברט,1
טאָל,154
שִׂדים,3
יַם-הַמֶלַח,8
געדינט,66
כּדָרלעומֶרן,2
דרײַצנטן,9
װידערשפּעניקט,44
פֿערצנטן,19
מלכים,285
געשלאָגן,269
רפֿאים,17
עַשתּרות-קַרנַיִם,1
זוזים,1
הָם,1
אֵימים,3
שָוֵה-קִריָתַיִם,1
חורים,1
שֵׂעִיר,31
אֵיל-פּאָרָן,1
מדבר,253
עֵין-מִשפָּט,1
קָדֵש,12
עַמָלֵק,16
חַצְצון-תָּמָר,1
אָנגעריכט,11
אַקעגן,419
גריבער,13
אַנטלאָפֿן,109
אַהין,175
אַרײַנגעפֿאַלן,5
איבערגעבליבענע,1
זײערס,11
אַנטרונענער,13
עִברי,4
געװױנט,21
אֶשכּולן,1
עָנֵרן,1
בונדסלײַט,2
אײגענער,28
געפֿאַנגען,45
אַרױסגעפֿירט,31
אײַנגעלערנטע,1
געבאָרענע,2
אַכצן,18
נאָכגעיאָגט,45
דָן,61
חובֿה,1
דַמֶשֶׂק,8
צוריקגעבראַכט,6
"פֿאָלק.
",40
אַנטקעגן,117
שלאָגן,75
שָוֵה,1
מלכס,151
מַלכּי-צֶדֶק,1
שָלֵם,2
אַרױסגעטראָגן,12
כֹּהן,304
העכסטן,14
באַשעפֿער,26
העכסטער,12
איבערגעענטפֿערט,19
פֿײַנט,344
מעשׂר,30
"אַלצדינג.
",1
פֿאָדים,7
שוכבענדל!,1
עפּעס,34
דײַנס!,2
מיר!,9
יונגען,86
חלק,73
עָנֵר,2
אֶשכּול,1
"חלק.

",1
געשעענישן,20
זעונגען,18
שילד,38
שׂכר,4
קענסטו,28
קינד,61
װירטשאַפֿטער,3
דַמֶשֶׂקער,1
אֶליעֶזֶר?,1
ירשען,17
אינגעװײד,49
צײל,15
איבערצײלן,2
געגלױבט,21
גערעכנט,29
"גערעכטיקײט.
",11
אַרױסגעצױגן,103
אַרבן,117
אַרבן?,1
דרײַיאָריקע,2
קו,16
ציג,10
דרײַיאָריקן,1
טורטלטױב,4
יונגע,73
איבערגעשניטן,2
אַװעקגעלײגט,21
העלפֿט,68
אַנדערער,22
רױבפֿױגלען,2
פּגרים,13
"אָפּגעטריבן.
",1
אונטערגײן,44
טיפֿער,8
געפֿאַלן,120
אימה,13
פֿאַלט,25
פֿרעמדע,125
מע,680
פֿאַרקנעכטן,4
פּײַניקן,31
װעמען,105
דינען,166
משפּטן,81
בשלום,35
גוטער,36
עלטער,18
באַגראָבן,120
אומקערן,271
אַהער,57
פֿאַרפֿול,6
"דענצמאָל.
",1
אונטערגעגאַנגען,17
שטאָקפֿינצטער,1
אױװן,22
רױך,29
פֿלאַמפֿײַער,9
שטיקער,25
געשלאָסן,52
פּרָת,14
קֵיני,10
קנִזי,4
קַדמוני,1
חִתּי,39
"יבוסי.

",1
מִצרישע,2
דינסט,183
הָגָר,8
קום,112
אפֿשר,36
אױפֿגעריכט,6
מִצרית,3
הָגָרן,3
האַרינטע,9
גרינגעשאַצט,3
אירע,623
עװלה,8
דיר!,10
בוזעם,30
געפּײַניקט,21
מלאך,104
קװאַל,38
שור,6
שָׂרַיס,1
קומסטו,5
װוּהין,32
גײסטו?,4
אַנטלױף,4
קער,90
בייג,1
פֿילקײט,20
געבערסט,3
יִשמָעֵאל,29
פּײַן,31
װאַלדאײזל,4
אַלעמענס,4
"װױנען.
",1
גערופֿען,1
«דו,1
זעונגען»,1
מיך?,2
ברונעם,39
באֵר-לַחַי-רואי,1
"ברֶד.
",1
יִשמָעֵאלן,10
"אבֿרמען.

",1
שַדַי,9
זײַ,86
ערלעך,17
סך,60
אבֿרהָם,1
דור-דורות,3
װױנשאַפֿט,2
אײגנטום,60
אבֿרהמען,55
געמַלט,24
מאַנספּאַרשױן,27
פאָרהױט,3
מאַנספּֿאַרשױן,3
געקױפֿט,20
געלט,108
עמיץ,1
פֿרעמדן,74
מוז,53
אומבאַשניטענער,3
מַלן,3
פֿאָרהױט,5
זעל,325
"פֿאַרשטערט.
",1
נײַערט,153
שָׂרָה,1
יאָ,149
אומות,91
אבֿרהם,73
געלאַכט,6
װערן?,17
שׂרה,20
געבערן?,2
הלװאַי,10
יצחק,48
פֿירשטן,116
יצחקן,56
צײַט,295
רעדן,269
"אבֿרהמען.
",2
הױזגעבאָרענע,2
געקױפֿטע,1
הױזלײַט,4
דרײַצן,12
מאַנסלײַט,1
"אים.
וַיֵרָא
",1
דערזען,58
שטײען,29
געלאָפֿן,29
געבוקט,77
אַװעקגײן,23
לאָז,73
ביסל,30
װאַשט,4
פֿיס,132
לענט,14
ברענגען,304
שטיקל,6
אונטערלענען,3
האַרץ,418
שױן,114
אַריבערגעקומען,4
געאײַלט,32
שׂרהן,15
אײַל,15
זיך!,1
סְאָה,9
זעמלמעל,52
פֿאַרקנעט,1
קוכנס,15
יונג,81
רינד,14
װײך,3
פֿעט,19
צוגעריכט,3
גיך,60
שמאַנט,8
מילך,35
אַװעקגעשטעלט,35
געשטאַנען,107
איצט,7
אײַנגעהערט,2
באַטאָגטע,1
זקנים,24
שטײגער,32
תּענוג?,1
דערצו,41
צי,112
אמתן,8
אַלט?,1
גאָט?,43
באַשטימטער,5
װידערקערן,3
געלײקנט,4
נײן,35
"געלאַכט.
",1
אַראָפּגעקוקט,5
באַלײטן,6
פֿאַרדעקן,21
װיל,99
טאָן?,16
מאַכטיק,16
באַפֿעלן,51
רעכט,98
גערעכטיקײט,233
געשרײ,66
לאָמיך,83
פֿאַרקערט,59
גענענט,113
אומברענגען,28
אומשולדיקן,14
שולדיקן?,1
טאָמער,34
אומשולדיקע,10
פֿאַרגעבן,57
איר?,15
חלילה,14
אַזאַ,53
טײטן,110
שולדיקן,9
אומשולדיקער,3
שולדיקער,3
ריכטער,47
גערעכטיקײט?,3
געפֿינען,90
זײערטװעגן,2
אָפּגערופֿן,64
אונטערשטײ,2
הגם,49
אַש,36
פֿעלן,12
צעשטערן,37
שטאָט?,3
פֿערציק?,1
פֿאַרדריסן,5
דרײַסיק?,1
צװאַנציק?,1
צען?,1
"צען.
",1
"אָרט.

",22
מלאָכים,4
טױער,195
קערט,115
פֿעדערן,12
גאַס,21
נעכטיקן,23
צוגעשטאַנען,15
אײַנגעקערט,4
מאָלצײַט,32
געבאַקן,4
אומגעזײַערטע,16
געלײגט,90
אַרומגערינגלט,36
עק,107
נאַכט?,2
דערקענען,32
טוט,329
װײסן,50
שאָטן,47
דאַך,19
אַװעק!,1
משפּטן!,1
ערגער,8
באַגײן,10
אײַנצוברעכן,1
לײַט,107
בלינדקײט,5
קלײן,51
דאָ?,4
אײדים,4
געשיקט,378
"צעשטערן.
",2
אײדימס,1
שטײט,121
מאַכט,255
שפּאַס,1
"אײדימס.
",1
אױפֿגעגאַנגען,28
אומגעבראַכט,24
געזאַמט,4
אָנגענומען,47
גאָטס,287
דערבאַרימונג,28
אױסן,56
אַנטרין,4
אומקוקן,6
אָפּשטעלן,12
געגרײסט,20
חסד,31
אַנטרינען,29
אָניאָגן,10
